full_name,team_name,player_position,current_fpl_cost,playing_time_min_percentage,xg_per_90,xag_per_90,blocks_per_90,yellows_per_90,reds_per_90,team_xg_per_90,team_xg_against_per_90,gameweek,is_at_home,team_league_position
Vitalii Mykolenko,Everton,Defender,49,72.2,0.01,0.05,1.6455696202531644,0.12658227848101264,0.0,1.3454545454545455,1.3727272727272728,12,0.0,13.0
Jake O'Brien,Everton,Defender,49,87.8,0.04,0.01,0.7216494845360826,0.0,0.0,1.3454545454545455,1.3727272727272728,12,0.0,13.0
Michael Keane,Everton,Defender,45,97.4,0.09,0.01,1.4018691588785048,0.0,0.0,1.3454545454545455,1.3727272727272728,12,0.0,13.0
Iliman Ndiaye,Everton,Midfielder,66,92.1,0.26,0.22,0.6930693069306931,0.19801980198019803,0.0,1.3454545454545455,1.3727272727272728,12,0.0,13.0
Idrissa Gana Gueye,Everton,Midfielder,54,95.9,0.1,0.03,1.0476190476190477,0.0,0.0,1.3454545454545455,1.3727272727272728,12,0.0,13.0
James Garner,Everton,Midfielder,50,100.0,0.09,0.1,1.6363636363636365,0.36363636363636365,0.0,1.3454545454545455,1.3727272727272728,12,0.0,13.0
Norberto Bercique Gomes Betuncal,Everton,Forward,52,61.5,0.61,0.06,0.5882352941176471,0.14705882352941177,0.0,1.3454545454545455,1.3727272727272728,12,0.0,13.0
Jack Grealish,Everton,Midfielder,68,83.4,0.13,0.35,1.1956521739130437,0.32608695652173914,0.0,1.3454545454545455,1.3727272727272728,12,0.0,13.0
Bernd Leno,Fulham,Goalkeeper,50,100.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.9636363636363637,1.3090909090909089,12,1.0,15.0
Joachim Andersen,Fulham,Defender,45,86.0,0.05,0.07,0.5263157894736842,0.0,0.0,0.9636363636363637,1.3090909090909089,12,1.0,15.0
Calvin Bassey,Fulham,Defender,45,91.8,0.02,0.0,1.3861386138613863,0.297029702970297,0.0,0.9636363636363637,1.3090909090909089,12,1.0,15.0
Timothy Castagne,Fulham,Defender,44,40.2,0.1,0.04,1.1363636363636362,0.0,0.0,0.9636363636363637,1.3090909090909089,12,1.0,15.0
Kenny Tete,Fulham,Defender,45,72.6,0.02,0.03,0.75,0.125,0.0,0.9636363636363637,1.3090909090909089,12,1.0,15.0
Alex Iwobi,Fulham,Midfielder,65,90.7,0.06,0.19,0.8,0.2,0.0,0.9636363636363637,1.3090909090909089,12,1.0,15.0
Ryan Sessegnon,Fulham,Midfielder,54,84.4,0.07,0.09,1.2903225806451613,0.0,0.0,0.9636363636363637,1.3090909090909089,12,1.0,15.0
Harry Wilson,Fulham,Midfielder,52,66.1,0.15,0.04,0.4109589041095891,0.136986301369863,0.0,0.9636363636363637,1.3090909090909089,12,1.0,15.0
Sander Berge,Fulham,Midfielder,49,96.8,0.05,0.05,1.0377358490566038,0.18867924528301888,0.0,0.9636363636363637,1.3090909090909089,12,1.0,15.0
Saša Lukić,Fulham,Midfielder,50,68.3,0.2,0.15,1.6,0.6666666666666666,0.0,0.9636363636363637,1.3090909090909089,12,1.0,15.0
Josh King,Fulham,Midfielder,45,66.8,0.11,0.03,1.5068493150684932,0.273972602739726,0.0,0.9636363636363637,1.3090909090909089,12,1.0,15.0
Raúl Jiménez Rodríguez,Fulham,Forward,62,45.7,0.29,0.08,0.4,0.0,0.0,0.9636363636363637,1.3090909090909089,12,1.0,15.0
Karl Darlow,,Goalkeeper,40,45.5,0.0,0.0,0.0,0.0,0.0,,,,,
Jayden Bogle,,Defender,45,96.8,0.06,0.02,0.6603773584905661,0.18867924528301888,0.0,,,,,
Pascal Struijk,,Defender,44,73.6,0.1,0.01,0.617283950617284,0.1234567901234568,0.0,,,,,
Gabriel Gudmundsson,,Defender,40,92.0,0.02,0.13,0.9900990099009901,0.09900990099009901,0.0,,,,,
Joe Rodon,,Defender,41,100.0,0.06,0.01,0.8181818181818182,0.0,0.0,,,,,
Brenden Aaronson,,Midfielder,54,71.8,0.21,0.17,1.7721518987341771,0.12658227848101264,0.0,,,,,
Ethan Ampadu,,Midfielder,49,79.5,0.05,0.01,0.8045977011494253,0.3448275862068966,0.0,,,,,
Sean Longstaff,,Midfielder,49,79.6,0.08,0.2,1.7045454545454544,0.11363636363636363,0.0,,,,,
Anton Stach,,Midfielder,49,80.7,0.1,0.12,1.1235955056179774,0.11235955056179775,0.0,,,,,
Lucas Estella Perri,,Goalkeeper,45,54.5,0.0,0.0,0.0,0.16666666666666666,0.0,,,,,
Dominic Calvert-Lewin,,Forward,55,62.0,0.31,0.13,0.5882352941176471,0.0,0.0,,,,,
Noah Okafor,,Midfielder,55,52.2,0.24,0.11,0.5263157894736842,0.3508771929824561,0.0,,,,,
Alisson Becker,Liverpool,Goalkeeper,54,54.5,0.0,0.0,0.0,0.0,0.0,1.5999999999999999,1.2545454545454544,12,1.0,8.0
Giorgi Mamardashvili,Liverpool,Goalkeeper,43,45.5,0.0,0.0,0.0,0.0,0.0,1.5999999999999999,1.2545454545454544,12,1.0,8.0
Milos Kerkez,Liverpool,Defender,57,70.2,0.1,0.07,0.6493506493506493,0.38961038961038963,0.0,1.5999999999999999,1.2545454545454544,12,1.0,8.0
Virgil van Dijk,Liverpool,Defender,59,100.0,0.04,0.01,1.2727272727272727,0.18181818181818182,0.0,1.5999999999999999,1.2545454545454544,12,1.0,8.0
Ibrahima Konaté,Liverpool,Defender,54,93.1,0.07,0.05,0.9803921568627452,0.19607843137254904,0.0,1.5999999999999999,1.2545454545454544,12,1.0,8.0
Conor Bradley,Liverpool,Defender,50,53.5,0.01,0.05,2.0338983050847457,0.6779661016949152,0.0,1.5999999999999999,1.2545454545454544,12,1.0,8.0
Mohamed Salah,Liverpool,Midfielder,142,99.3,0.33,0.16,0.4587155963302752,0.09174311926605504,0.0,1.5999999999999999,1.2545454545454544,12,1.0,8.0
Florian Wirtz,Liverpool,Midfielder,80,69.6,0.17,0.15,1.5584415584415585,0.12987012987012986,0.0,1.5999999999999999,1.2545454545454544,12,1.0,8.0
Cody Gakpo,Liverpool,Midfielder,75,83.7,0.35,0.32,1.1956521739130437,0.0,0.0,1.5999999999999999,1.2545454545454544,12,1.0,8.0
Alexis Mac Allister,Liverpool,Midfielder,63,64.4,0.09,0.19,1.4084507042253522,0.14084507042253522,0.0,1.5999999999999999,1.2545454545454544,12,1.0,8.0
Dominik Szoboszlai,Liverpool,Midfielder,66,100.0,0.12,0.13,0.9090909090909091,0.36363636363636365,0.0,1.5999999999999999,1.2545454545454544,12,1.0,8.0
Ryan Gravenberch,Liverpool,Midfielder,56,78.9,0.07,0.08,0.4597701149425288,0.2298850574712644,0.0,1.5999999999999999,1.2545454545454544,12,1.0,8.0
Hugo Ekitiké,Liverpool,Forward,86,63.8,0.33,0.07,0.42857142857142855,0.0,0.0,1.5999999999999999,1.2545454545454544,12,1.0,8.0
Joško Gvardiol,,Defender,58,61.5,0.02,0.05,1.3235294117647058,0.0,0.0,,,,,
Matheus Nunes,,Defender,53,70.1,0.03,0.03,1.0389610389610389,0.12987012987012986,0.0,,,,,
Rúben dos Santos Gato Alves Dias,,Defender,55,91.5,0.01,0.0,1.188118811881188,0.0,0.0,,,,,
Nico O'Reilly,,Defender,50,69.3,0.13,0.1,1.1842105263157896,0.2631578947368421,0.0,,,,,
Phil Foden,,Midfielder,80,71.9,0.15,0.16,0.37974683544303794,0.37974683544303794,0.0,,,,,
Bernardo Mota Veiga de Carvalho e Silva,,Midfielder,63,65.1,0.01,0.27,0.6944444444444444,0.2777777777777778,0.0,,,,,
Jérémy Doku,,Midfielder,64,62.7,0.15,0.54,0.2898550724637681,0.0,0.0,,,,,
Nico González Iglesias,,Midfielder,59,65.5,0.04,0.05,0.8333333333333333,0.41666666666666663,0.0,,,,,
Oscar Bobb,,Midfielder,53,45.9,0.07,0.13,1.4,0.0,0.0,,,,,
Tijjani Reijnders,,Midfielder,55,76.6,0.18,0.17,0.11904761904761904,0.23809523809523808,0.0,,,,,
Erling Haaland,,Forward,149,95.4,1.05,0.11,0.19047619047619047,0.0,0.0,,,,,
Gianluigi Donnarumma,,Goalkeeper,57,72.7,0.0,0.0,0.0,0.25,0.0,,,,,
Bryan Mbeumo,,Midfielder,85,96.5,0.3,0.23,0.8490566037735849,0.0,0.0,,,,,
Altay Bayındır,,Goalkeeper,48,54.5,0.0,0.04,0.0,0.0,0.0,,,,,
Matthijs de Ligt,,Defender,50,100.0,0.09,0.05,1.0,0.0,0.0,,,,,
Diogo Dalot Teixeira,,Defender,44,60.0,0.01,0.16,0.4545454545454546,0.0,0.0,,,,,
Patrick Dorgu,,Defender,42,63.2,0.08,0.16,0.8571428571428571,0.5714285714285714,0.0,,,,,
Luke Shaw,,Defender,45,94.2,0.01,0.01,1.25,0.0,0.0,,,,,
Leny Yoro,,Defender,44,64.8,0.04,0.0,0.7042253521126761,0.0,0.0,,,,,
Bruno Borges Fernandes,,Midfielder,89,99.0,0.43,0.21,0.6422018348623852,0.18348623853211007,0.0,,,,,
Matheus Santos Carneiro da Cunha,,Midfielder,79,69.0,0.22,0.08,1.0526315789473684,0.0,0.0,,,,,
Amad Diallo,,Midfielder,63,76.2,0.25,0.2,0.8333333333333333,0.11904761904761904,0.0,,,,,
Carlos Henrique Casimiro,,Midfielder,55,62.0,0.2,0.1,1.7647058823529411,0.7352941176470589,0.14705882352941177,,,,,
Benjamin Sesko,,Forward,73,62.7,0.3,0.05,0.7246376811594203,0.14492753623188406,0.0,,,,,
Senne Lammens,,Goalkeeper,50,45.5,0.0,0.0,0.0,0.0,0.0,,,,,
Nick Pope,,Goalkeeper,52,98.6,0.0,0.0,0.0,0.09259259259259259,0.0,,,,,
Fabian Schär,,Defender,54,42.9,0.02,0.02,1.4893617021276595,0.0,0.0,,,,,
Sven Botman,,Defender,49,64.8,0.02,0.08,1.4084507042253522,0.0,0.0,,,,,
Dan Burn,,Defender,52,98.2,0.0,0.01,0.8333333333333333,0.4629629629629629,0.09259259259259259,,,,,
Tino Livramento,,Defender,49,53.1,0.0,0.03,0.1724137931034483,0.0,0.0,,,,,
Kieran Trippier,,Defender,50,70.6,0.0,0.1,1.4102564102564104,0.12820512820512822,0.0,,,,,
Anthony Gordon,,Midfielder,74,46.3,0.27,0.19,0.5882352941176471,0.0,0.19607843137254904,,,,,
