full_name,gw_points,gw_minutes
David Raya Martín,10,90
Gabriel dos Santos Magalhães,8,90
William Saliba,7,90
Riccardo Calafiori,0,0
Jurriën Timber,0,0
Benjamin White,6,90
Bukayo Saka,1,9
Martin Ødegaard,3,90
Leandro Trossard,0,0
Declan Rice,2,90
Martín Zubimendi Ibáñez,5,80
Eberechi Eze,6,52
Viktor Gyökeres,1,56
Piero Hincapié,9,90
Emiliano Martínez Romero,3,90
Marco Bizot,0,0
Matty Cash,2,90
Lucas Digne,2,90
Ezri Konsa Ngoyo,2,90
Tyrone Mings,0,0
Pau Torres,1,90
Morgan Rogers,2,90
Youri Tielemans,2,73
John McGinn,2,73
Boubacar Kamara,0,0
Amadou Onana,0,0
Ollie Watkins,2,79
Kyle Walker,0,0
Hjalmar Ekdal,0,0
Maxime Estève,0,0
Quilindschy Hartman,0,0
Bashir Humphreys,0,0
Lucas Pires Silva,0,0
Axel Tuanzebe,0,0
Jaidon Anthony,0,0
Josh Cullen,0,0
Josh Laurent,0,0
Zian Flemming,0,0
Lyle Foster,0,0
Martin Dúbravka,0,0
James Ward-Prowse,0,0
Lesley Ugochukwu,0,0
Florentino Ibrain Morris Luís,0,0
Đorđe Petrović,0,0
Marcos Senesi Barón,0,0
Adrien Truffert,0,0
James Hill,0,0
Marcus Tavernier,0,0
Tyler Adams,0,0
Lewis Cook,0,0
Alex Scott,0,0
Francisco Evanilson de Lima Barbosa,0,0
Bafodé Diakité,0,0
Álex Jiménez Sánchez,0,0
Dango Ouattara,1,90
Caoimhín Kelleher,2,90
Hákon Rafn Valdimarsson,0,0
Nathan Collins,2,90
Kristoffer Ajer,0,0
Michael Kayode,1,90
Ethan Pinnock,0,0
Sepp van den Berg,0,90
Kevin Schade,2,72
Mikkel Damsgaard,2,90
Jordan Henderson,0,0
Vitaly Janelt,0,0
Mathias Jensen,10,90
Gustavo Nunes Fernandes Gomes,0,0
Yehor Yarmoliuk,4,90
Igor Thiago Nascimento Rodrigues,1,90
Bart Verbruggen,0,0
Olivier Boscagli,0,0
Lewis Dunk,0,0
Ferdi Kadıoğlu,0,0
Jan Paul van Hecke,0,0
Mitoma Kaoru,0,0
Georginio Rutter,0,0
Yankuba Minteh,0,0
Jack Hinshelwood,0,0
Yasin Ayari,0,0
Diego Gómez Amarilla,0,0
Mats Wieffer,0,0
Danny Welbeck,0,0
Pascal Groß,0,0
Robert Lynch Sánchez,0,0
Filip Jörgensen,0,0
Marc Cucurella Saseta,0,0
Reece James,0,0
Trevoh Chalobah,0,0
Malo Gusto,0,0
Benoît Badiashile Mukinayi,0,0
Wesley Fofana,0,0
Cole Palmer,0,0
Pedro Lomba Neto,0,0
Enzo Fernández,0,0
Moisés Caicedo Corozo,0,0
João Pedro Junqueira de Jesus,0,0
Alejandro Garnacho Ferreyra,0,0
Dean Henderson,0,90
Walter Benítez,0,0
Daniel Muñoz Mejía,6,90
Maxence Lacroix,3,90
Tyrick Mitchell,0,45
Chris Richards,1,90
Nathaniel Clyne,0,0
Ismaïla Sarr,5,90
Daichi Kamada,4,90
Adam Wharton,2,90
Jean-Philippe Mateta,2,69
Jørgen Strand Larsen,1,20
Yéremy Pino Santos,1,31
Jaydee Canvot,3,90
Kiernan Dewsbury-Hall,8,90
Jordan Pickford,1,90
Jarrad Branthwaite,0,0
James Tarkowski,3,90
Vitalii Mykolenko,1,90
Jake O'Brien,1,64
Michael Keane,1,90
Iliman Ndiaye,2,90
Dwight McNeil,2,64
Idrissa Gana Gueye,2,85
James Garner,3,90
Jack Grealish,0,0
Bernd Leno,7,90
Antonee Robinson,1,9
Joachim Andersen,11,90
Calvin Bassey,6,90
Timothy Castagne,5,90
Issa Diop,0,0
Jorge Cuenca Barreno,0,0
Kenny Tete,0,0
Alex Iwobi,0,0
Ryan Sessegnon,11,80
Harry Wilson,2,90
Sander Berge,3,90
Saša Lukić,6,90
Raúl Jiménez Rodríguez,2,65
Karl Darlow,0,0
Jayden Bogle,0,0
Pascal Struijk,0,0
Jaka Bijol,0,0
Gabriel Gudmundsson,0,0
Joe Rodon,0,0
Brenden Aaronson,0,0
Ethan Ampadu,0,0
Ilia Gruev,0,0
Anton Stach,0,0
Lucas Estella Perri,0,0
Dominic Calvert-Lewin,0,0
Noah Okafor,0,0
James Justin,0,0
Alisson Becker,0,0
Giorgi Mamardashvili,0,0
Freddie Woodman,3,90
Milos Kerkez,1,3
Virgil van Dijk,4,90
Ibrahima Konaté,4,90
Conor Bradley,0,0
Mohamed Salah,1,58
Florian Wirtz,8,90
Cody Gakpo,2,90
Alexis Mac Allister,13,90
Dominik Szoboszlai,1,90
Ryan Gravenberch,1,11
Hugo Ekitiké,0,0
Antoine Semenyo,0,0
James Trafford,0,0
Marc Guéhi,0,0
Rayan Aït-Nouri,0,0
Joško Gvardiol,0,0
Abdukodir Khusanov,0,0
Matheus Nunes,0,0
Rúben dos Santos Gato Alves Dias,0,0
Nico O'Reilly,0,0
Phil Foden,0,0
Bernardo Mota Veiga de Carvalho e Silva,0,0
Jérémy Doku,0,0
Rodrigo 'Rodri' Hernandez Cascante,0,0
Nico González Iglesias,0,0
Tijjani Reijnders,0,0
Erling Haaland,0,0
Gianluigi Donnarumma,0,0
Max Alleyne,0,0
Bryan Mbeumo,3,73
Altay Bayındır,0,0
Matthijs de Ligt,0,0
Lisandro Martínez,0,0
Diogo Dalot Teixeira,4,90
Patrick Dorgu,0,0
Harry Maguire,7,90
Luke Shaw,5,72
Leny Yoro,1,17
Bruno Borges Fernandes,5,90
Matheus Santos Carneiro da Cunha,0,0
Amad Diallo,1,45
Carlos Henrique Casimiro,12,90
Benjamin Sesko,8,87
Senne Lammens,3,90
Nick Pope,2,90
Lewis Hall,0,0
Fabian Schär,0,0
Sven Botman,4,90
Dan Burn,3,90
Tino Livramento,0,0
Kieran Trippier,0,0
Anthony Gordon,0,0
Harvey Barnes,1,24
Bruno Guimarães Rodriguez Moura,2,74
Joelinton Cássio Apolinário de Lira,0,0
Sandro Tonali,2,90
Lewis Miley,2,90
Aaron Ramsdale,0,0
Malick Thiaw,2,90
Nick Woltemade,1,15
Oleksandr Zinchenko,0,0
Stefan Ortega Moreno,0,0
Matz Sels,7,90
Nikola Milenković,8,90
Murillo Costa dos Santos,0,0
Ola Aina,9,90
Neco Williams,5,90
Jair Paula da Cunha Filho,1,49
Felipe Rodrigues da Silva,1,40
Zach Abbott,0,0
Morgan Gibbs-White,13,90
Callum Hudson-Odoi,0,0
Elliot Anderson,9,90
Ibrahim Sangaré,1,45
Chris Wood,7,87
Igor Jesus Maciel da Cruz,14,66
Omari Hutchinson,3,66
John Victor Maciel Furtado,0,0
Nicolò Savona,0,0
Daniel Ballard,0,90
Trai Hume,-2,90
Reinildo Mandava,1,45
Jenson Seelt,0,0
Habib Diarra,1,64
Enzo Le Fée,2,90
Noah Sadiki,2,90
Chemsdine Talbi,0,0
Granit Xhaka,1,90
Robin Roefs,0,90
Omar Alderete,0,90
Nordi Mukiele,0,90
Lutsharel Geertruida,0,0
Brian Brobbey,2,90
Bertrand Traoré,0,0
Melker Ellborg,0,0
Guglielmo Vicario,0,0
Antonín Kinský,6,90
Pedro Porro Sauceda,8,90
Cristian Romero,0,0
Kevin Danso,5,90
Djed Spence,8,90
Destiny Udogie,0,0
Micky van de Ven,6,90
Mohammed Kudus,0,0
Rodrigo Bentancur,4,90
Yves Bissouma,3,61
Archie Gray,0,0
Richarlison de Andrade,4,50
João Maria Lobo Alves Palhares Costa Palhinha Gonçalves,9,28
Xavi Simons,3,62
Randal Kolo Muani,1,45
Conor Gallagher,4,90
Alphonse Areola,0,0
El Hadji Malick Diouf,2,90
Maximilian Kilman,0,0
Konstantinos Mavropanos,4,90
Nayef Aguerd,0,0
Ollie Scarles,0,0
Jean-Clair Todibo,1,1
Aaron Wan-Bissaka,0,0
Lucas Tolentino Coelho de Lima,0,0
Crysencio Summerville,2,90
Jarrod Bowen,10,90
Kyle Walker-Peters,2,90
Mads Hermansen,2,90
Mateus Gonçalo Espanha Fernandes,2,90
Pablo Felipe Pereira de Jesus,2,80
Valentín Castellanos,1,78
